,stateProvince,county,decimalLongitude,decimalLatitude,scientificName
149,Alabama,Geneva,-85.8389710381,31.095018791399998,Magnolia grandiflora
150,Alabama,Geneva,-85.8389710381,31.095018791399998,Magnolia fraseri
151,Alabama,Houston,-85.3025303619,31.1531923893,Magnolia grandiflora
152,Alabama,Lee,-85.3556115959,32.6011834977,Magnolia grandiflora
153,Alabama,Lee,-85.3556115959,32.6011834977,Magnolia grandiflora
154,Alabama,Macon,-85.6926066154,32.3860229779,Magnolia grandiflora
155,Alabama,Marengo,-87.78948894780001,32.247638646700004,Magnolia grandiflora
156,Alabama,Mobile,-88.2017898654,30.7942579159,Magnolia grandiflora
157,Alabama,Mobile,-88.2017898654,30.7942579159,Magnolia grandiflora
158,Alabama,Mobile,-88.2017898654,30.7942579159,Magnolia grandiflora
159,Alabama,Mobile,-88.2017898654,30.7942579159,Magnolia grandiflora
160,Alabama,Mobile,-88.2017898654,30.7942579159,Magnolia macrophylla
161,Alabama,Monroe,-87.3658146439,31.570611455300003,Magnolia grandiflora
162,Alabama,Russell,-85.1848959698,32.2884296027,Magnolia grandiflora
163,Alabama,Tuscaloosa,-87.52504580680001,33.2895489347,Magnolia grandiflora
164,Alabama,Tuscaloosa,-87.52504580680001,33.2895489347,Magnolia macrophylla
165,Alabama,Tuscaloosa,-87.52504580680001,33.2895489347,Magnolia macrophylla
166,Alabama,Tuscaloosa,-87.52504580680001,33.2895489347,Magnolia macrophylla
167,Alabama,Tuscaloosa,-87.52504580680001,33.2895489347,Magnolia macrophylla
169,Alabama,Washington,-88.2071266113,31.4076647107,Magnolia grandiflora
170,Alabama,Wilcox,-87.3081940764,31.989242243299998,Magnolia grandiflora
171,Florida,Gadsden,-84.61366599850001,30.579491335500002,Magnolia grandiflora
172,Florida,Gadsden,-84.61366599850001,30.579491335500002,Magnolia grandiflora
173,Florida,Gadsden,-84.61366599850001,30.579491335500002,Magnolia grandiflora
174,Florida,Osceola,-81.1495485848,28.062661264699997,Magnolia grandiflora
175,Georgia,Appling,-82.2890299989,31.749283574899998,Magnolia grandiflora
176,Georgia,Appling,-82.2890299989,31.749283574899998,Magnolia grandiflora
177,Georgia,Bacon,-82.45272851770001,31.553692196,Magnolia grandiflora
178,Georgia,Brooks,-83.5803217839,30.841962953699998,Magnolia grandiflora
179,Georgia,Candler,-82.0736804166,32.4035126969,Magnolia grandiflora
180,Georgia,Charlton,-82.1379605849,30.7818364908,Magnolia grandiflora
181,Georgia,Clinch,-82.7063268411,30.915073387399996,Magnolia grandiflora
182,Georgia,Coffee,-82.8492685259,31.5492408143,Magnolia grandiflora
183,Georgia,Decatur,-84.57202306810001,30.881485731199998,Magnolia grandiflora
184,Georgia,Decatur,-84.57202306810001,30.881485731199998,Magnolia grandiflora
185,Georgia,Decatur,-84.57202306810001,30.881485731199998,Magnolia fraseri
186,Georgia,Glynn,-81.55123980229999,31.236493490999997,Magnolia grandiflora
187,Georgia,Grady,-84.234415043,30.8746771554,Magnolia grandiflora
188,Georgia,Echols,-82.89388510229999,30.7100763218,Magnolia grandiflora
189,Georgia,Effingham,-81.3407131239,32.3675282751,Magnolia grandiflora
190,Georgia,Effingham,-81.3407131239,32.3675282751,Magnolia fraseri
193,Georgia,Emanuel,-82.30178491619999,32.589783688800004,Magnolia grandiflora
194,Georgia,Hancock,-83.0010065293,33.2702760488,Magnolia grandiflora
195,Georgia,Long,-81.7459712113,31.7528168885,Magnolia grandiflora
196,Georgia,Lowndes,-83.2677378974,30.833879365799998,Magnolia grandiflora
197,Georgia,Lowndes,-83.2677378974,30.833879365799998,Magnolia grandiflora
198,Georgia,Pierce,-82.2133493818,31.3589308932,Magnolia grandiflora
199,Georgia,Tattnall,-82.05818746189999,32.0458290753,Magnolia grandiflora
200,Georgia,Seminole,-84.8681002038,30.9480971096,Magnolia grandiflora
201,Georgia,Wayne,-81.9168116194,31.5515315081,Magnolia grandiflora
202,Georgia,Wayne,-81.9168116194,31.5515315081,Magnolia fraseri
203,Louisiana,Lafayette,-92.06388391649999,30.2062714645,Magnolia grandiflora
204,Louisiana,Orleans,-89.90366345059999,30.038468511599998,Magnolia grandiflora
205,Louisiana,Ouachita,-92.15453329389999,32.4784531532,Magnolia grandiflora
206,Louisiana,Ouachita,-92.15453329389999,32.4784531532,Magnolia grandiflora
207,Louisiana,Saint Mary,-91.44939971059999,29.719558248000002,Magnolia grandiflora
208,Louisiana,Vernon,-93.1841755307,31.108297409899997,Magnolia grandiflora
209,Louisiana,Vernon,-93.1841755307,31.108297409899997,Magnolia grandiflora
210,Louisiana,Vernon,-93.1841755307,31.108297409899997,Magnolia grandiflora
211,Mississippi,George,-88.64404919309999,30.8626307591,Magnolia grandiflora
212,Mississippi,George,-88.64404919309999,30.8626307591,Magnolia macrophylla
213,Mississippi,George,-88.64404919309999,30.8626307591,Magnolia macrophylla
214,Mississippi,George,-88.64404919309999,30.8626307591,Magnolia fraseri
215,Mississippi,Hinds,-90.44273825239999,32.266723055,Magnolia grandiflora
216,Mississippi,Lamar,-89.5087078974,31.2059076241,Magnolia grandiflora
217,Mississippi,Lamar,-89.5087078974,31.2059076241,Magnolia macrophylla
218,Mississippi,Perry,-88.99232955020001,31.172050134899997,Magnolia grandiflora
219,Mississippi,Perry,-88.99232955020001,31.172050134899997,Magnolia macrophylla
220,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia grandiflora
221,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia macrophylla
222,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia macrophylla
223,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia fraseri
224,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia fraseri
225,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia fraseri
226,Mississippi,Wilkinson,-91.31089902389999,31.1610286654,Magnolia fraseri
227,Virginia,James City,-76.8324366754,37.2297419685,Magnolia grandiflora
228,Virginia,James City,-76.8324366754,37.2297419685,Magnolia grandiflora
230,Virginia,Mecklenburg,-78.36274997560001,36.6803574719,Magnolia grandiflora
231,Virginia,Mecklenburg,-78.36274997560001,36.6803574719,Magnolia grandiflora
232,Virginia,York,-76.4685953025,37.204615298,Magnolia grandiflora
233,Pennsylvania,Crawford,-80.1062873521,41.6847544734,Magnolia grandiflora
234,Texas,Wood,-95.382090599,32.7863979639,Magnolia grandiflora
235,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
236,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
237,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
238,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
239,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
240,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
241,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
242,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
243,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
244,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
245,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
246,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
247,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
248,Florida,Okaloosa,-86.5964277054,30.706802871799997,Magnolia macrophylla
249,Florida,Liberty,-84.8829176679,30.241378449499997,Magnolia macrophylla
250,Florida,Liberty,-84.8829176679,30.241378449499997,Magnolia macrophylla
251,Florida,Liberty,-84.8829176679,30.241378449499997,Magnolia fraseri
252,Florida,Walton,-85.8975565945,30.545081458200002,Magnolia macrophylla
253,Florida,Walton,-85.8975565945,30.545081458200002,Magnolia fraseri
254,North Carolina,McDowell,-82.048666959,35.6813471134,Magnolia fraseri
255,North Carolina,McDowell,-82.048666959,35.6813471134,Magnolia fraseri
256,North Carolina,McDowell,-82.048666959,35.6813471134,Magnolia fraseri
257,North Carolina,McDowell,-82.048666959,35.6813471134,Magnolia fraseri
258,North Carolina,McDowell,-82.048666959,35.6813471134,Magnolia fraseri
260,North Carolina,Mitchell,-82.1634241247,36.013301411,Magnolia fraseri
262,North Carolina,Rutherford,-81.9201979008,35.4022954544,Magnolia fraseri
267,North Carolina,Stokes,-80.2395122424,36.401849646,Magnolia fraseri
268,North Carolina,Stokes,-80.2395122424,36.401849646,Magnolia fraseri
269,North Carolina,Stokes,-80.2395122424,36.401849646,Magnolia fraseri
273,North Carolina,Surry,-80.6881655799,36.4148198396,Magnolia fraseri
274,North Carolina,Surry,-80.6881655799,36.4148198396,Magnolia fraseri
275,North Carolina,Surry,-80.6881655799,36.4148198396,Magnolia fraseri
276,North Carolina,Surry,-80.6881655799,36.4148198396,Magnolia fraseri
278,North Carolina,Swain,-83.492748881,35.4867392404,Magnolia fraseri
282,North Carolina,Alexander,-81.1771524063,35.921092562800006,Magnolia fraseri
283,North Carolina,Alleghany,-81.1285854158,36.4915283264,Magnolia fraseri
284,North Carolina,Alleghany,-81.1285854158,36.4915283264,Magnolia fraseri
285,North Carolina,Ashe,-81.5010382442,36.434613827199996,Magnolia fraseri
286,North Carolina,Ashe,-81.5010382442,36.434613827199996,Magnolia fraseri
287,North Carolina,Ashe,-81.5010382442,36.434613827199996,Magnolia fraseri
288,North Carolina,Avery,-81.922444124,36.0765936067,Magnolia fraseri
289,North Carolina,Avery,-81.922444124,36.0765936067,Magnolia fraseri
290,North Carolina,Buncombe,-82.5301591409,35.6111984476,Magnolia fraseri
291,North Carolina,Burke,-81.7045032432,35.7494867518,Magnolia fraseri
295,North Carolina,Caldwell,-81.5465013781,35.952972019,Magnolia fraseri
296,North Carolina,Caldwell,-81.5465013781,35.952972019,Magnolia fraseri
299,North Carolina,Cherokee,-84.0634772569,35.1338695561,Magnolia fraseri
303,North Carolina,Clay,-83.75018835770001,35.0572388976,Magnolia fraseri
304,North Carolina,Graham,-83.8335410003,35.3501611769,Magnolia fraseri
309,North Carolina,Haywood,-82.98221765699999,35.556057097,Magnolia fraseri
310,North Carolina,Haywood,-82.98221765699999,35.556057097,Magnolia fraseri
311,North Carolina,Haywood,-82.98221765699999,35.556057097,Magnolia fraseri
313,North Carolina,Henderson,-82.47990420890001,35.3362432705,Magnolia fraseri
314,North Carolina,Jackson,-83.1408161159,35.2873936193,Magnolia fraseri
316,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
317,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
318,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
319,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
320,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
321,North Carolina,Macon,-83.4221173099,35.150448538,Magnolia fraseri
325,North Carolina,Madison,-82.7056895725,35.8580567141,Magnolia fraseri
326,North Carolina,Madison,-82.7056895725,35.8580567141,Magnolia fraseri
328,North Carolina,Transylvania,-82.7983034172,35.2021563435,Magnolia fraseri
329,North Carolina,Transylvania,-82.7983034172,35.2021563435,Magnolia fraseri
330,North Carolina,Transylvania,-82.7983034172,35.2021563435,Magnolia fraseri
331,North Carolina,Transylvania,-82.7983034172,35.2021563435,Magnolia fraseri
332,North Carolina,Transylvania,-82.7983034172,35.2021563435,Magnolia fraseri
334,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
335,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
336,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
337,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
338,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
339,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
340,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
341,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
342,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
343,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
344,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
345,North Carolina,Watauga,-81.6969149613,36.2312845518,Magnolia fraseri
347,North Carolina,Wilkes,-81.1638479754,36.2065345935,Magnolia fraseri
348,North Carolina,Wilkes,-81.1638479754,36.2065345935,Magnolia fraseri
349,North Carolina,Wilkes,-81.1638479754,36.2065345935,Magnolia fraseri
350,North Carolina,Wilkes,-81.1638479754,36.2065345935,Magnolia fraseri
353,North Carolina,Yancey,-82.3075684426,35.8988874899,Magnolia fraseri
354,South Carolina,Greenville,-82.3708078467,34.8943709295,Magnolia fraseri
355,South Carolina,Greenville,-82.3708078467,34.8943709295,Magnolia fraseri
356,South Carolina,Greenville,-82.3708078467,34.8943709295,Magnolia fraseri
357,South Carolina,Oconee,-83.0658649376,34.7534737944,Magnolia fraseri
358,South Carolina,Oconee,-83.0658649376,34.7534737944,Magnolia fraseri
359,South Carolina,Oconee,-83.0658649376,34.7534737944,Magnolia fraseri
360,South Carolina,Pickens,-82.7253708053,34.8875288507,Magnolia fraseri
361,South Carolina,Pickens,-82.7253708053,34.8875288507,Magnolia fraseri
362,South Carolina,Pickens,-82.7253708053,34.8875288507,Magnolia fraseri
363,South Carolina,Pickens,-82.7253708053,34.8875288507,Magnolia fraseri
364,Georgia,Fannin,-84.3197415091,34.86409531,Magnolia fraseri
365,Georgia,Habersham,-83.53116471930001,34.6310087036,Magnolia fraseri
366,Georgia,Rabun,-83.4021281015,34.881771402300004,Magnolia fraseri
367,Georgia,Rabun,-83.4021281015,34.881771402300004,Magnolia fraseri
368,Georgia,Rabun,-83.4021281015,34.881771402300004,Magnolia fraseri
369,Georgia,Rabun,-83.4021281015,34.881771402300004,Magnolia fraseri
370,Georgia,Rabun,-83.4021281015,34.881771402300004,Magnolia fraseri
371,Georgia,Stephens,-83.2934889486,34.5539685996,Magnolia fraseri
372,Georgia,Stephens,-83.2934889486,34.5539685996,Magnolia fraseri
373,Kentucky,Harlan,-83.2178876728,36.85700485,Magnolia fraseri
374,Kentucky,Pike,-82.3957787848,37.4690456653,Magnolia fraseri
375,Tennessee,Johnson,-81.8517628084,36.4549215205,Magnolia fraseri
376,Tennessee,Sevier,-83.5241757154,35.7846606366,Magnolia fraseri
378,Tennessee,Unicoi,-82.432258217,36.1108327044,Magnolia fraseri
380,Virginia,Bland,-81.1302144144,37.1339877708,Magnolia fraseri
381,Virginia,Buchanan,-82.0360064978,37.2666376795,Magnolia fraseri
382,Virginia,Dickenson,-82.3503329196,37.1257602532,Magnolia fraseri
384,Virginia,Grayson,-81.22495208939999,36.6566018422,Magnolia fraseri
385,Virginia,Lee,-83.12848820880001,36.7054607888,Magnolia fraseri
386,Virginia,Lee,-83.12848820880001,36.7054607888,Magnolia macrophylla
388,Virginia,Patrick,-80.28433981939999,36.678355747800005,Magnolia fraseri
389,Virginia,Patrick,-80.28433981939999,36.678355747800005,Magnolia fraseri
390,Virginia,Patrick,-80.28433981939999,36.678355747800005,Magnolia fraseri
392,Virginia,Scott,-82.6029759411,36.714215012800004,Magnolia fraseri
394,Virginia,Smyth,-81.536952453,36.843865107199996,Magnolia fraseri
395,Virginia,Smyth,-81.536952453,36.843865107199996,Magnolia fraseri
396,Virginia,Washington,-82.1217299333,36.6486788266,Magnolia fraseri
397,Virginia,Wythe,-81.0785927726,36.9171318748,Magnolia fraseri
398,Virginia,Wythe,-81.0785927726,36.9171318748,Magnolia fraseri
399,West Virginia,Pocahontas,-80.0077396778,38.3317987533,Magnolia fraseri
400,West Virginia,Webster,-80.4218704242,38.4947085724,Magnolia fraseri
401,Texas,Jasper,-94.02502079870001,30.7439752731,Magnolia fraseri
402,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
403,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
404,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
405,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
406,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
407,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
408,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
409,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
410,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
411,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
412,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
413,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
414,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
415,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
416,North Carolina,Iredell,-80.8736447878,35.8072188183,Magnolia macrophylla
419,North Carolina,Mecklenburg,-80.83277810989999,35.2468123289,Magnolia macrophylla
420,North Carolina,Mecklenburg,-80.83277810989999,35.2468123289,Magnolia macrophylla
421,North Carolina,Rowan,-80.52470077310001,35.6396440136,Magnolia macrophylla
422,North Carolina,Rowan,-80.52470077310001,35.6396440136,Magnolia macrophylla
423,North Carolina,Rowan,-80.52470077310001,35.6396440136,Magnolia macrophylla
424,Alabama,Coosa,-86.24763833440001,32.9362320562,Magnolia macrophylla
426,Alabama,Cullman,-86.8676175666,34.1319768601,Magnolia macrophylla
427,Alabama,Franklin,-87.8437896838,34.441681900700004,Magnolia macrophylla
428,Alabama,Franklin,-87.8437896838,34.441681900700004,Magnolia macrophylla
429,Alabama,Franklin,-87.8437896838,34.441681900700004,Magnolia macrophylla
430,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
431,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
432,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
433,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
434,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
435,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
436,Alabama,Lawrence,-87.3110315357,34.5219985293,Magnolia macrophylla
437,Alabama,Marion,-87.88714455030001,34.136566521700004,Magnolia macrophylla
438,Alabama,Marion,-87.88714455030001,34.136566521700004,Magnolia macrophylla
439,Alabama,Marion,-87.88714455030001,34.136566521700004,Magnolia macrophylla
440,Alabama,Morgan,-86.8529099545,34.4534820066,Magnolia macrophylla
441,Alabama,Perry,-87.2942119407,32.6385163388,Magnolia macrophylla
442,Alabama,Perry,-87.2942119407,32.6385163388,Magnolia macrophylla
443,Alabama,Tallapoosa,-85.797507276,32.8624319969,Magnolia macrophylla
444,Alabama,Walker,-87.2973256612,33.8033694945,Magnolia macrophylla
445,Alabama,Walker,-87.2973256612,33.8033694945,Magnolia macrophylla
446,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
447,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
448,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
449,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
450,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
451,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
452,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
453,Alabama,Winston,-87.3736774133,34.1492357012,Magnolia macrophylla
455,Mississippi,Carroll,-89.92016588989999,33.4485091092,Magnolia macrophylla
456,Mississippi,Carroll,-89.92016588989999,33.4485091092,Magnolia macrophylla
